movie_name,ranking,score,score_num
梦之安魂曲,164,8.7,99972人评价
战争之王,165,8.5,160024人评价
可可西里,166,8.6,117477人评价
一次别离,167,8.7,119611人评价
心迷宫,168,8.6,133821人评价
海盗电台,169,8.6,155972人评价
超能陆战队,170,8.6,330079人评价
唐伯虎点秋香,171,8.3,282051人评价
时空恋旅人,172,8.6,170828人评价
谍影重重2,173,8.5,144696人评价
谍影重重,174,8.5,175304人评价
蝙蝠侠：黑暗骑士崛起,175,8.5,267943人评价
地球上的星星,176,8.8,70721人评价
迁徙的鸟,177,9.1,48616人评价
荒野生存,178,8.6,116613人评价
阿飞正传,179,8.5,158599人评价
绿里奇迹,180,8.7,96183人评价
勇闯夺命岛,181,8.5,130239人评价
荒蛮故事,182,8.7,109613人评价
恐怖游轮,183,8.3,277670人评价
惊魂记,184,8.8,72495人评价
燕尾蝶,185,8.6,101115人评价
小森林 冬春篇,186,8.9,92264人评价
魔女宅急便,187,8.4,173136人评价
卡萨布兰卡,188,8.6,113034人评价
达拉斯买家俱乐部,189,8.6,149626人评价
再次出发之纽约遇见你,190,8.5,145206人评价
英国病人,191,8.4,162354人评价
这个男人来自地球,192,8.5,157488人评价
变脸,193,8.4,196429人评价
未麻的部屋,194,8.8,78390人评价
东京物语,195,9.2,44001人评价
爆裂鼓手,196,8.6,206352人评价
终结者2：审判日,197,8.5,127933人评价
被解救的姜戈,198,8.5,237112人评价
叫我第一名,199,8.6,98970人评价
牯岭街少年杀人事件,200,8.7,91158人评价
E.T. 外星人,201,8.5,138113人评价
末路狂花,202,8.7,92248人评价
忠犬八公物语,203,9.0,48090人评价
哪吒闹海,204,8.8,70427人评价
发条橙,205,8.4,169557人评价
穆赫兰道,206,8.3,210278人评价
源代码,207,8.3,373864人评价
黑客帝国3：矩阵革命,208,8.5,138428人评价
青蛇,209,8.4,194859人评价
非常嫌疑犯,210,8.6,104015人评价
美国丽人,211,8.4,167501人评价
新龙门客栈,212,8.4,164066人评价
黄金三镖客,213,9.1,45026人评价
上帝也疯狂,214,8.6,87381人评价
无耻混蛋,215,8.4,202732人评价
城市之光,216,9.2,37142人评价
爱·回家,217,9.0,42852人评价
勇士,218,8.9,79360人评价
初恋这件小事,219,8.2,415290人评价
曾经,220,8.3,188370人评价
蓝色大门,221,8.2,252835人评价
麦兜故事,222,8.5,116969人评价
暖暖内含光,223,8.4,131676人评价
无敌破坏王,224,8.6,169034人评价
蝴蝶,225,8.6,89073人评价
与狼共舞,226,8.9,51915人评价
大卫·戈尔的一生,227,8.7,76036人评价
巴黎淘气帮,228,8.6,97735人评价
遗愿清单,229,8.5,111859人评价
国王的演讲,230,8.3,307760人评价
血钻,231,8.5,115113人评价
夜访吸血鬼,232,8.3,181512人评价
模仿游戏,233,8.5,224056人评价
偷拐抢骗,234,8.5,105391人评价
荒岛余生,235,8.4,118606人评价
爱在暹罗,236,8.3,206092人评价
中央车站,237,8.7,70715人评价
两小无猜,238,8.1,296858人评价
千钧一发,239,8.7,72667人评价
月球,240,8.5,128215人评价
疯狂的石头,241,8.2,275699人评价
枪火,242,8.6,86499人评价
罪恶之城,243,8.4,130156人评价
寿司之神,244,8.8,72450人评价
爱在午夜降临前,245,8.7,100012人评价
我爱你,246,9.0,48526人评价
廊桥遗梦,247,8.5,87369人评价
角斗士,248,8.4,118375人评价
假如爱有天意,249,8.2,209849人评价
黑鹰坠落,250,8.5,97491人评价
